Match ID,Event,Date,Team 1,Team 2,Map,Team 1 Rounds,Team 2 Rounds,Total Rounds,Winner,Team 1 FK,Team 2 FK,Team 1 Clutches,Team 2 Clutches,Team 1 Rating,Team 2 Rating
49701,PGL Major Krakow 2017,2017-07-17 10:20:00,mousesports,FaZe,Train,19,15,34,mousesports,18,16,1,1,1.18,0.94
49697,PGL Major Krakow 2017,2017-07-17 09:00:00,PENTA,North,Mirage,9,16,25,North,10,15,3,0,0.93,1.22
49684,PGL Major Krakow 2017,2017-07-16 20:40:00,Astralis,Immortals,Overpass,19,17,36,Astralis,22,14,3,1,1.13,0.99
49678,PGL Major Krakow 2017,2017-07-16 18:55:00,Natus Vincere,G2,Overpass,14,16,30,G2,13,17,0,2,1.04,1.03
49675,PGL Major Krakow 2017,2017-07-16 17:20:00,North,Cloud9,Mirage,12,16,28,Cloud9,14,14,3,2,0.97,1.07
49671,PGL Major Krakow 2017,2017-07-16 15:45:00,FaZe,BIG,Inferno,8,16,24,BIG,12,12,1,1,0.8,1.25
49670,PGL Major Krakow 2017,2017-07-16 13:55:00,SK,PENTA,Inferno,16,13,29,SK,14,14,0,1,1.07,0.97
49667,PGL Major Krakow 2017,2017-07-16 12:40:00,Virtus.pro,Vega Squadron,Nuke,16,2,18,Virtus.pro,14,4,2,0,1.55,0.59
49665,PGL Major Krakow 2017,2017-07-16 11:00:00,fnatic,FlipSid3,Mirage,16,12,28,fnatic,15,13,4,1,1.09,1.07
49658,PGL Major Krakow 2017,2017-07-16 09:00:00,Gambit,mousesports,Inferno,16,10,26,Gambit,16,10,1,0,1.22,0.87
41025,ELEAGUE Major 2017,2017-01-29 15:30:00,Astralis,Virtus.pro,Train,16,14,30,Astralis,12,18,2,0,1.07,1.03
41023,ELEAGUE Major 2017,2017-01-29 15:30:00,Astralis,Virtus.pro,Overpass,16,14,30,Astralis,14,15,3,1,1.11,1.0
41021,ELEAGUE Major 2017,2017-01-29 15:30:00,Astralis,Virtus.pro,Nuke,12,16,28,Virtus.pro,13,15,2,5,0.98,1.15
41014,ELEAGUE Major 2017,2017-01-28 21:45:00,Virtus.pro,SK,Cobblestone,16,14,30,Virtus.pro,20,10,1,1,1.12,0.92
41012,ELEAGUE Major 2017,2017-01-28 21:45:00,Virtus.pro,SK,Train,19,17,36,Virtus.pro,18,18,3,0,1.03,1.01
41011,ELEAGUE Major 2017,2017-01-28 18:45:00,Astralis,fnatic,Nuke,16,5,21,Astralis,16,5,2,1,1.42,0.74
41009,ELEAGUE Major 2017,2017-01-28 18:45:00,Astralis,fnatic,Cache,19,16,35,Astralis,20,15,4,5,1.2,0.92
41007,ELEAGUE Major 2017,2017-01-28 15:00:00,FaZe,SK,Overpass,5,16,21,SK,5,16,0,1,0.63,1.5
41004,ELEAGUE Major 2017,2017-01-28 15:00:00,FaZe,SK,Train,3,16,19,SK,5,14,0,3,0.62,1.59
41000,ELEAGUE Major 2017,2017-01-28 15:00:00,FaZe,SK,Mirage,16,7,23,FaZe,12,11,3,0,1.22,0.94
40993,ELEAGUE Major 2017,2017-01-27 23:35:00,Virtus.pro,North,Cobblestone,16,13,29,Virtus.pro,14,14,1,1,1.01,1.09
40992,ELEAGUE Major 2017,2017-01-27 23:35:00,Virtus.pro,North,Cache,12,16,28,North,13,15,0,0,0.97,1.06
40991,ELEAGUE Major 2017,2017-01-27 23:35:00,Virtus.pro,North,Overpass,16,4,20,Virtus.pro,14,6,2,0,1.4,0.72
40988,ELEAGUE Major 2017,2017-01-27 19:45:00,fnatic,Gambit,Dust2,16,7,23,fnatic,13,10,1,1,1.31,0.78
40987,ELEAGUE Major 2017,2017-01-27 19:45:00,fnatic,Gambit,Overpass,3,16,19,Gambit,6,13,1,2,0.65,1.54
40984,ELEAGUE Major 2017,2017-01-27 19:45:00,fnatic,Gambit,Cache,16,7,23,fnatic,13,10,1,0,1.24,0.78
40980,ELEAGUE Major 2017,2017-01-27 15:10:00,Natus Vincere,Astralis,Dust2,10,16,26,Astralis,11,15,2,1,0.85,1.26
40977,ELEAGUE Major 2017,2017-01-27 15:10:00,Natus Vincere,Astralis,Mirage,16,14,30,Natus Vincere,18,12,2,2,1.18,0.94
40976,ELEAGUE Major 2017,2017-01-27 15:10:00,Natus Vincere,Astralis,Overpass,7,16,23,Astralis,8,15,0,1,0.88,1.27
40967,ELEAGUE Major 2017,2017-01-26 02:20:00,Liquid,Astralis,Mirage,3,16,19,Astralis,4,15,0,0,0.51,1.57
40965,ELEAGUE Major 2017,2017-01-26 01:20:00,FaZe,Envy,Nuke,16,11,27,FaZe,14,13,0,2,1.24,0.86
40963,ELEAGUE Major 2017,2017-01-25 23:35:00,North,GODSENT,Overpass,19,17,36,North,20,16,3,5,1.07,1.09
40962,ELEAGUE Major 2017,2017-01-25 21:35:00,Gambit,FaZe,Overpass,16,14,30,Gambit,14,16,3,1,1.1,1.13
40956,ELEAGUE Major 2017,2017-01-25 20:00:00,SK,Astralis,Dust2,19,17,36,SK,16,20,3,2,1.1,1.01
40953,ELEAGUE Major 2017,2017-01-25 18:55:00,GODSENT,OpTic,Cache,16,8,24,GODSENT,12,12,1,0,1.22,0.92
40952,ELEAGUE Major 2017,2017-01-25 17:55:00,mousesports,Liquid,Nuke,4,16,20,Liquid,6,14,0,1,0.54,1.49
40951,ELEAGUE Major 2017,2017-01-25 16:30:00,Envy,fnatic,Cobblestone,11,16,27,fnatic,10,17,0,4,1.03,1.09
40946,ELEAGUE Major 2017,2017-01-25 15:00:00,North,G2,Overpass,16,9,25,North,13,12,3,0,1.19,0.93
40944,ELEAGUE Major 2017,2017-01-25 00:10:00,FlipSid3,OpTic,Train,13,16,29,OpTic,17,12,3,1,1.05,1.1
40941,ELEAGUE Major 2017,2017-01-24 22:25:00,Liquid,FaZe,Nuke,18,22,40,FaZe,18,22,2,2,0.95,1.11
40940,ELEAGUE Major 2017,2017-01-24 21:15:00,SK,Natus Vincere,Dust2,3,16,19,Natus Vincere,8,11,0,3,0.73,1.4
40937,ELEAGUE Major 2017,2017-01-24 20:10:00,Astralis,G2,Train,16,5,21,Astralis,12,9,1,1,1.47,0.68
40935,ELEAGUE Major 2017,2017-01-24 18:45:00,Gambit,Virtus.pro,Train,10,16,26,Virtus.pro,12,14,1,1,0.9,1.21
40931,ELEAGUE Major 2017,2017-01-24 17:15:00,North,HellRaisers,Mirage,19,15,34,North,18,16,2,2,1.03,1.06
40928,ELEAGUE Major 2017,2017-01-24 16:25:00,GODSENT,Envy,Cache,3,16,19,Envy,7,12,0,3,0.67,1.48
40925,ELEAGUE Major 2017,2017-01-24 15:00:00,fnatic,mousesports,Dust2,16,11,27,fnatic,11,16,2,0,1.02,1.01
40921,ELEAGUE Major 2017,2017-01-24 00:30:00,Virtus.pro,G2,Nuke,16,14,30,Virtus.pro,13,17,5,2,1.04,1.04
40920,ELEAGUE Major 2017,2017-01-23 23:15:00,GODSENT,Gambit,Overpass,9,16,25,Gambit,11,14,1,3,0.81,1.34
40919,ELEAGUE Major 2017,2017-01-23 21:40:00,OpTic,Astralis,Train,12,16,28,Astralis,14,14,0,2,0.83,1.27
40918,ELEAGUE Major 2017,2017-01-23 20:15:00,North,fnatic,Cobblestone,13,16,29,fnatic,12,17,1,0,1.03,1.12
40917,ELEAGUE Major 2017,2017-01-23 18:45:00,FlipSid3,Liquid,Overpass,14,16,30,Liquid,13,17,3,1,1.03,1.14
40913,ELEAGUE Major 2017,2017-01-23 17:15:00,FaZe,SK,Mirage,17,19,36,SK,16,19,2,5,0.98,1.11
40912,ELEAGUE Major 2017,2017-01-23 16:15:00,Natus Vincere,Envy,Cobblestone,16,6,22,Natus Vincere,17,4,2,0,1.37,0.78
40911,ELEAGUE Major 2017,2017-01-23 15:00:00,mousesports,HellRaisers,Cache,16,7,23,mousesports,14,9,3,0,1.29,0.8
