Match ID,Event,Date,Player,Team,Map,Rounds,Kills,Deaths,FK,FD,FK%K,FD%D,Rating
82091,IEM Katowice 2019,2019-03-01 18:35:00,Xyp9x,Astralis,Mirage,18,19,3,1,0,5.263157894736842,0.0,1.78
82091,IEM Katowice 2019,2019-03-01 18:35:00,dupreeh,Astralis,Mirage,18,17,8,3,1,17.647058823529413,12.5,1.66
82091,IEM Katowice 2019,2019-03-01 18:35:00,device,Astralis,Mirage,18,15,7,3,3,20.0,42.857142857142854,1.46
82091,IEM Katowice 2019,2019-03-01 18:35:00,gla1ve,Astralis,Mirage,18,11,10,0,1,0.0,10.0,1.05
82091,IEM Katowice 2019,2019-03-01 18:35:00,REZ,NiP,Mirage,18,9,17,1,3,11.11111111111111,17.647058823529413,0.68
82091,IEM Katowice 2019,2019-03-01 18:35:00,Lekr0,NiP,Mirage,18,10,17,2,6,20.0,35.294117647058826,0.68
82091,IEM Katowice 2019,2019-03-01 18:35:00,f0rest,NiP,Mirage,18,7,16,0,1,0.0,6.25,0.52
82091,IEM Katowice 2019,2019-03-01 18:35:00,dennis,NiP,Mirage,18,7,17,1,0,14.285714285714285,0.0,0.38
82091,IEM Katowice 2019,2019-03-01 18:35:00,GeT_RiGhT,NiP,Mirage,18,3,18,1,3,33.33333333333333,16.666666666666664,0.18
82087,IEM Katowice 2019,2019-03-01 15:10:00,FalleN,MIBR,Train,28,23,17,5,1,21.73913043478261,5.88235294117647,1.37
82087,IEM Katowice 2019,2019-03-01 15:10:00,fer,MIBR,Train,28,23,17,5,2,21.73913043478261,11.76470588235294,1.32
82087,IEM Katowice 2019,2019-03-01 15:10:00,TACO,MIBR,Train,28,23,15,2,3,8.695652173913043,20.0,1.27
82087,IEM Katowice 2019,2019-03-01 15:10:00,coldzera,MIBR,Train,28,20,19,2,5,10.0,26.31578947368421,1.09
82087,IEM Katowice 2019,2019-03-01 15:10:00,felps,MIBR,Train,28,13,19,1,2,7.6923076923076925,10.526315789473683,0.78
82087,IEM Katowice 2019,2019-03-01 15:10:00,jkaem,Renegades,Train,28,18,24,9,5,50.0,20.833333333333336,1.13
