Name,Age,Nationality,Team,Rating,Total Kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Kills / Round,Maps played
Bruno 'bit' Lima,28,Brazil,TeamOne,0.99,6292,46.8,6137,1.03,74.3,0.66,376
Bektiyar 'fitch' Bahytov,26,Kazakhstan,AVANGAR,0.99,9821,52.8,9961,0.99,78.6,0.69,538
Costin 'jaxi' Vrînceanu,24,Romania,No team,0.99,7955,40.3,7754,1.03,73.8,0.67,462
André 'BARBARR' Möller,29,Sweden,No team,0.99,15625,42.7,15600,1.00,74.9,0.68,865
Anthony 'gMd' Guimond,18,Canada,Spacestation,1.05,6393,52.8,6422,1.00,74.7,0.69,357
Thiago 'tifa' França,23,Brazil,ex-Imperial,0.99,5866,45.2,5840,1.00,75.2,0.68,331
Yegor 'markeloff' Markelov,31,Ukraine,FlipSid3,0.99,19780,41.6,19292,1.03,74.3,0.67,1143
Christopher 'MUTiRiS' Fernandes,26,Portugal,Giants,0.99,9718,51.2,9742,1.00,79.4,0.70,537
Mihail 'Dosia' Stolyarov,30,Russia,Gambit,0.99,24739,48.1,24270,1.02,74.2,0.68,1396
Peter 'stanislaw' Jarguz,25,Canada,compLexity,0.99,15383,47.7,15134,1.02,75.6,0.67,891
Benjamin 'BENDJI' Söderena,23,Sweden,No team,0.99,15603,32.5,15471,1.01,75.4,0.69,854
Leon 'ryotzz' Felipe,25,Brazil,W7M,1.09,5993,37.3,6058,0.99,81.5,0.69,333
Nikita 'waterfaLLZ' Matveyev,23,Russia,No team,0.99,12194,27.9,12254,1.00,72.8,0.69,677
Karl-William 'kalle' Haraldsen,27,Norway,Without Warning,1.05,5052,40.2,5030,1.00,75.3,0.67,288
Denis 'seized' Kostin,24,Russia,Vega Squadron,0.99,21001,45.1,20850,1.01,73.2,0.68,1180
Andrew 'YDNA' Adams,20,Australia,ex-Breakaway,1.03,6759,38.3,6686,1.01,70.5,0.67,387
Keun-Chul 'solo' Kang,31,Korea,No team,1.04,6338,47.0,6248,1.01,75.2,0.68,369
Ruben 'RUBINO' Villarroel,25,Norway,Nordavind,0.99,15387,52.2,15412,1.00,72.4,0.68,865
Aitor 'SOKER' Fernández,25,Spain,Movistar Riders,0.99,8435,42.4,8548,0.99,76.7,0.69,469
Gustavo 'SHOOWTiME' Gonçalves,22,Brazil,ex-Imperial,0.99,12331,45.8,12341,1.00,74.6,0.68,704
Matthew 'no_one' Congdon,23,United States,No team,0.99,6040,53.5,6125,0.99,76.7,0.70,336
Piotr 'morelz' Taterka,24,Poland,PACT,0.99,13534,47.8,13714,0.99,77.5,0.69,738
Jonathan 'Jonji' Carey,19,Canada,The Quest,1.08,7505,43.3,7663,0.98,79.9,0.70,419
Vadzim 'fnyekes' Zhuraulenka,20,Belarus,No team,1.03,5609,47.7,5692,0.99,75.2,0.69,312
Jake 'kaboose' McDonald,18,United States,Chris and the boys,0.99,8368,55.3,8660,0.97,76.2,0.70,460
Saku 'SAGGERTON' Jokinen,23,Finland,No team,0.99,9723,42.6,9954,0.98,75.4,0.69,540
Leonid 'chopper' Vishnyakov,22,Russia,Spirit,0.99,7765,55.7,7834,0.99,74.8,0.68,428
